"","AGE","GENDER","DOMAIN","PhD","YEARSEXP","UNIVERSITY","UOC_POSITION","USERWIKI","PU1","PU2","PU3","PEU1","PEU2","PEU3","ENJ1","ENJ2","Qu1","Qu2","Qu3","Qu4","Qu5","Vis1","Vis2","Vis3","Im1","Im2","Im3","SA1","SA2","SA3","Use1","Use2","Use3","Use4","Use5","Pf1","Pf2","Pf3","JR1","JR2","BI1","BI2","Inc1","Inc2","Inc3","Inc4","Exp1","Exp2","Exp3","Exp4","Exp5"
"12",38,"0","Ciencias de la Salud","1",15,"1","Asociado","1","4","4","4","5","5","5","5","5","4","4","3","3","3","4","3","3","2","3","3","4","3","4","4","4","4","3","4","2","3","4","5","5","4","4","5","4","5","4","2","4","4","4","2"
"13",38,"0","Derecho y Politica","1",14,"1","Asociado","1","3","2","3","4","4","4","4","4","3","5","3","4","3","2","2","2","2","2","2","4","2","4","2","1","2","3","3","3","1","2","5","4","3","3","5","5","3","2","3","4","4","2","2"
"14",38,"0","Artes y Humanidades","1",5,"1","Asistente","0","3","3","4","4","4","3","4","3","3","3","3","3","3","4","3","1","4","4","3","5","5","5","2","1","3","1","4","1","1","1","4","2","3","4","5","5","4","4","3","3","4","2","1"
"15",39,"0","Ingenieria y Arquitectura","1",10,"1","Asistente","0","2","3","3","4","4","4","5","5","2","4","2","3","3","2","2","1","2","2","2","2","3","3","2","1","2","2","2","3","3","4","2","2","3","2","4","4","4","4","4","5","5","1","4"
"16",43,"0","Artes y Humanidades","1",12,"1","Asociado","1","4","4","4","5","5","3","4","4","4","4","4","2","5","5","5","5","2","1","3","5","5","5","5","4","5","5","5","3","2","5","5","2","5","5","3","3","4","5","5","5","5","2","2"
"17",38,"0","Ingenieria y Arquitectura","1",14,"1","Asociado","1","4","4","4","5","4","3","4","4","4","4","3","3","4","4","3","4","3","4","3","5","4","5","3","3","4","4","4","4","3","3","5","3","4","5","4","4","3","3","4","4","4","3","4"
"18",38,"0","Artes y Humanidades","1",12,"1","Asociado","0","3","2","3","5","4","3","4","4","3","4","3","5","2","3","3","1","3","3","3","4","5","3","2","1","3","3","3","4","3","3","4","4","3","3","4","4","4","2","2","3","4","1","3"
"19",37,"0","Artes y Humanidades","1",9,"1","Asociado","0","3","2","3","4","3","3","4","3","2","2","2","4","1","3","3","1","2","3","3","3","4","3","1","1","2","2","2","3","2","3","3","3","2","2","3","3","3","3","2","2","4","1","2"
"20",35,"0","Ingenieria y Arquitectura","1",7,"1","Asociado","0","4","4","4","3","4","3","4","4","2","3","3","3","3","2","3","2","3","4","2","5","2","4","2","3","3","3","3","4","4","4","4","1","3","3","4","3","3","3","4","3","4","3","3"
"21",59,"0","Ciencias","1",36,"1","Profesor","0","4","4","4","4","4","3","4","3","4","4","3","3","5","4","3","3","3","3","3","5","5","5","4","3","4","4","4","4","2","4","4","2","4","4","4","3","3","5","4","4","4","1","2"
"22",36,"0","Ingenieria y Arquitectura","1",9,"1","Asociado","0","3","3","4","5","4","3","4","4","2","1","1","3","3","4","4","2","3","5","3","5","5","5","1","1","2","2","3","1","2","2","5","2","3","3","4","2","1","4","2","2","3","1","2"
"23",34,"0","Ingenieria y Arquitectura","1",7,"1","Asociado","0","3","3","3","5","5","4","2","4","2","4","2","3","2","2","4","1","3","4","3","4","4","4","1","1","3","3","4","1","2","1","4","1","2","2","4","2","4","2","2","2","2","1","5"
"24",43,"0","Derecho y Politica","0",19,"1","Profesor","0","2","3","3","4","4","2","4","4","3","3","2","2","3","2","2","1","2","2","2","4","4","4","2","2","2","2","3","2","2","3","4","3","2","2","3","3","3","3","2","3","3","1","1"
"25",43,"0","Ciencias de la Salud","0",4,"1","Profesor","0","2","2","2","3","2","3","4","2","2","2","2","3","2","2","2","2","2","2","2","3","3","3","1","1","2","2","2","2","3","1","4","4","2","2","3","3","3","3","2","2","2","1","2"
"26",32,"0","Ingenieria y Arquitectura","1",8,"1","Asociado","0","3","4","4","5","4","4","5","5","4","4","4","3","5","4","4","1","3","5","4","5","5","5","2","1","2","2","5","2","1","4","3","3","3","3","4","4","3","4","4","5","5","1","4"
"27",32,"0","Ingenieria y Arquitectura","0",7,"1","Profesor","0","4","3","3","5","4","3","5","5","3","4","2","5","4","3","4","1","3","5","2","5","4","4","1","1","1","1","2","1","1","1","4","1","2","2","2","5","1","5","1","2","4","1","1"
"28",52,"0","Artes y Humanidades","1",10,"1","Asistente","1","2","2","4","5","4","2","3","4","4","4","2","4","1","2","4","1","2","4","3","4","4","2","1","1","4","3","4","1","1","1","4","3","2","4","4","5","3","3","4","5","5","2","3"
"29",33,"0","Ingenieria y Arquitectura","1",5,"1","Asistente","0","2","3","4","3","4","3","4","4","4","4","3","2","3","2","3","2","2","4","2","3","4","4","2","1","2","3","2","2","1","2","3","1","2","3","5","5","5","5","4","4","4","1","3"
"30",32,"0","Artes y Humanidades","0",2,"1","Instructor","0","4","4","5","4","4","5","5","4","3","5","3","2","4","3","3","4","4","5","4","5","5","5","3","3","4","4","4","5","1","3","5","5","3","4","5","2","2","4","4","5","3","2","4"
"31",62,"0","Artes y Humanidades","1",17,"1","Asociado","1","4","4","5","5","4","4","3","3","5","5","3","3","4","2","3","5","2","2","2","4","4","4","4","5","5","4","4","5","4","4","3","2","4","5","3","5","3","4","5","5","3","4","4"
"32",50,"0","Artes y Humanidades","1",23,"1","Asociado","1","5","5","5","5","5","4","5","5","4","4","4","2","5","5","3","4","2","2","4","5","4","4","3","4","4","4","4","3","1","4","2","2","5","5","5","4","3","4","4","5","4","2","4"
"33",48,"0","Artes y Humanidades","1",16,"1","Asociado","0","5","5","5","4","4","4","4","4","4","4","3","2","3","4","3","1","4","3","4","5","5","5","1","4","4","4","4","5","5","3","5","5","5","5","5","5","1","1","5","5","5","1","4"
"34",42,"0","Ciencias de la Salud","1",12,"1","Asistente","0","2","3","4","3","4","3","4","4","3","3","3","3","4","3","4","2","2","4","3","4","5","5","2","1","2","2","3","1","4","3","5","5","1","2","1","1","2","1","3","4","4","1","2"
"35",53,"1","Artes y Humanidades","1",6,"1","Asociado","0","2","2","2","4","4","3","3","3","2","4","2","3","2","2","3","1","1","1","1","3","3","3","1","1","2","2","3","3","3","2","5","5","3","2","5","5","5","5","2","4","4","1","3"
"36",46,"1","Ingenieria y Arquitectura","1",16,"1","Asistente","0","3","3","3","4","4","3","4","3","3","4","3","3","3","2","3","2","2","4","3","4","3","4","3","2","3","2","3","2","2","3","4","2","4","4","4","4","4","4","4","3","4","2","3"
"37",48,"1","Artes y Humanidades","1",16,"1","Asociado","0","3","3","3","5","5","2","4","3","3","3","3","4","2","2","4","2","3","3","3","5","4","4","3","3","4","1","3","1","1","1","3","2","2","4","4","1","1","5","4","5","4","1","3"
"38",43,"1","Ingenieria y Arquitectura","1",16,"1","Asistente","1","4","4","4","4","3","3","4","4","4","4","4","3","4","4","4","3","4","4","3","4","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4","3","3","4"
"39",46,"1","Ciencias de la Salud","1",22,"1","Asociado","0","4","3","3","3","5","3","3","2","4","4","2","3","5","4","3","1","2","4","4","2","2","2","1","3","1","1","4","1","1","1","5","4","3","2","4","5","4","4","1","4","4","1","4"
"40",55,"1","Artes y Humanidades","1",9,"1","Asociado","1","4","4","4","4","4","4","3","3","3","3","3","2","3","4","3","1","3","2","3","4","4","5","4","2","4","2","4","2","1","2","4","4","4","4","5","5","5","5","4","4","4","3","5"
"41",33,"1","Derecho y Politica","0",10,"1","Profesor","0","2","3","3","4","4","3","4","4","3","3","3","2","2","3","3","1","1","2","1","3","3","3","1","1","1","1","2","1","2","1","4","3","3","1","5","4","4","5","1","4","4","1","1"
"42",48,"1","Derecho y Politica","1",14,"1","Asociado","0","2","3","3","5","5","2","4","3","3","3","3","5","4","5","3","1","2","4","2","5","4","5","1","3","1","1","1","1","2","3","5","2","2","3","5","2","2","4","2","5","3","1","2"
"43",44,"1","Artes y Humanidades","1",15,"1","Asociado","0","3","3","5","5","4","3","3","5","3","3","3","4","3","3","4","1","1","2","2","5","5","5","2","1","3","2","3","5","5","3","5","4","4","4","5","5","5","5","5","5","2","1","3"
"44",40,"1","Ciencias de la Salud","1",2,"1","Asistente","0","3","3","3","5","4","3","3","4","3","3","3","4","4","4","4","2","2","3","2","4","4","5","2","3","2","2","3","3","3","3","4","2","2","3","3","2","2","5","3","4","4","2","4"
"45",29,"1","Ingenieria y Arquitectura","0",5,"1","Profesor","0","3","3","2","5","3","4","4","4","3","4","3","4","4","3","4","2","3","4","2","4","4","4","1","1","2","2","3","3","4","4","5","4","3","3","4","4","3","3","2","4","4","2","5"
"46",32,"1","Artes y Humanidades","1",3,"1","Asistente","0","3","3","3","4","5","3","4","4","4","4","4","3","4","4","3","1","2","2","2","4","4","4","3","1","3","3","4","3","3","3","3","3","4","4","5","5","4","3","4","4","4","1","1"
"47",31,"1","Artes y Humanidades","0",5,"1","Profesor","0","5","5","5","5","5","4","5","5","4","4","4","2","4","4","4","4","2","2","4","5","5","5","4","1","4","4","5","4","2","4","4","1","4","4","3","4","3","5","5","5","5","1","2"
"48",33,"1","Artes y Humanidades","0",8,"1","Profesor","0","5","3","3","4","5","4","4","4","3","3","3","5","5","5","4","1","4","4","4","4","4","4","3","3","3","3","4","3","3","3","4","5","4","5","5","5","5","5","2","3","3","1","3"
"49",31,"1","Artes y Humanidades","1",5,"1","Asistente","1","4","4","4","3","5","3","5","5","4","4","3","3","5","5","4","3","4","5","3","5","5","5","2","1","3","3","4","2","3","5","4","4","3","3","5","5","4","3","5","5","5","2","3"
"50",30,"1","Derecho y Politica","0",2,"1","Profesor","0","3","3","4","3","3","3","4","4","3","3","3","4","4","3","3","2","4","5","4","4","4","4","2","3","3","3","4","3","3","2","5","3","3","3","4","4","4","3","4","4","4","2","2"
"51",46,"1","Derecho y Politica","1",17,"1","Profesor","0","2","2","3","5","4","4","5","4","4","4","3","2","3","1","1","4","1","3","2","5","5","5","2","1","2","3","4","2","1","4","5","4","3","3","4","2","1","3","3","4","4","1","1"
"52",55,"1","Artes y Humanidades","1",25,"1","Asociado","0","2","2","2","4","4","4","3","2","3","3","2","3","2","2","3","1","1","2","3","4","5","5","1","2","2","2","2","2","2","1","3","3","2","2","5","4","5","4","2","3","4","1","2"
"53",44,"1","Derecho y Politica","0",19,"1","Asistente","0","3","3","3","4","4","4","4","4","3","3","2","4","3","4","4","2","2","4","3","4","4","4","2","2","2","2","3","1","1","4","4","3","3","3","4","3","3","3","3","4","3","1","4"
"54",46,"0","Ciencias de la Salud","0",4,"1","Adjunto","0","2","2","2","4","3","3","3","3","2","2","2","2","1","1","2","1","1","3","1","3","3","3","1","1","1","1","1","2","2","1","3","3","1","1","1","1","1","1","1","1","2","1","2"
"55",51,"0","Artes y Humanidades","1",5,"1","Adjunto","0","4","4","4","4","4","3","3","4","4","4","3","4","3","4","3","1","3","5","3","5","4","5","2","1","1","1","4","5","2","2","5","5","3","3","2","4","2","3","2","4","2","1","5"
"56",45,"0","Ciencias","0",6,"1","Adjunto","0","4","4","3","5","4","3","4","4","3","4","4","3","3","3","3","3","4","4","4","4","4","4","2","2","3","4","4","1","4","1","4","4","4","4","4","4","4","4","3","4","4","1","2"
"57",39,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","0","4","3","4","4","5","3","5","5","3","4","4","4","4","3","3","1","3","2","3","5","5","3","2","1","2","2","3","1","5","3","4","4","2","2","4","3","4","4","4","4","4","1","1"
"58",40,"0","Ciencias","0",12,"1","Adjunto","0","4","5","4","5","5","4","3","4","5","5","4","2","4","3","4","5","4","5","4","5","5","5","3","3","4","4","5","2","3","2","4","3","4","4","5","4","3","4","4","4","4","1","3"
"59",53,"0","Ingenieria y Arquitectura","0",7,"1","Adjunto","0","3","4","4","4","4","3","5","4","4","5","4","3","3","3","3","3","3","4","4","4","4","5","3","2","4","4","4","2","2","2","4","3","4","4","4","4","4","3","4","4","4","1","3"
"60",51,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","0","3","4","5","3","3","2","4","4","3","3","2","3","2","3","3","2","2","3","3","4","4","5","2","2","2","2","4","2","2","1","4","3","2","3","2","2","2","2","2","4","4","1","3"
"61",46,"0","Ingenieria y Arquitectura","0",15,"1","Adjunto","0","3","3","3","4","4","3","4","4","3","4","4","4","4","3","5","2","3","3","4","5","4","4","2","3","3","3","4","3","2","2","3","3","3","3","3","3","4","3","3","4","4","1","5"
"62",43,"0","Derecho y Politica","1",20,"1","Adjunto","0","2","2","1","4","3","3","2","3","2","2","2","4","1","2","3","1","1","3","1","3","4","3","1","1","1","1","2","2","2","2","3","2","1","1","1","1","1","1","1","2","3","1","1"
"63",44,"0","Artes y Humanidades","1",20,"1","Adjunto","0","3","4","4","4","4","2","5","4","4","3","3","3","3","3","3","1","2","2","2","3","2","3","1","1","3","2","4","1","1","1","3","3","3","3","3","5","3","3","2","3","1","1","1"
"64",47,"0","Ciencias","1",21,"1","Adjunto","0","5","5","5","5","3","4","4","4","3","4","2","2","3","4","4","4","4","4","3","4","4","4","2","2","4","4","4","4","4","4","5","3","4","4","5","5","5","5","4","4","4","1","1"
"65",33,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","0","2","3","3","4","4","4","5","4","3","3","3","1","4","1","2","2","2","3","2","3","4","4","2","2","1","1","2","1","1","2","4","4","2","2","3","3","1","3","2","3","3","1","5"
"66",46,"0","Ingenieria y Arquitectura","1",23,"1","Adjunto","1","2","3","4","2","5","3","3","3","3","4","2","4","3","3","4","4","3","4","2","5","4","4","4","2","3","3","3","1","2","5","2","3","2","3","2","3","2","2","4","4","4","1","2"
"67",43,"0","Ingenieria y Arquitectura","0",15,"1","Adjunto","0","3","3","3","5","5","3","4","4","3","4","3","3","3","3","3","3","2","4","3","5","5","5","1","1","3","3","3","1","1","2","3","3","3","3","4","3","3","3","4","4","5","1","2"
"68",47,"0","Ciencias","1",19,"1","Adjunto","0","3","3","3","4","4","4","4","4","3","3","3","3","3","3","3","3","2","4","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"69",47,"0","Ingenieria y Arquitectura","1",20,"1","Adjunto","0","4","4","4","5","3","4","5","5","3","4","3","2","3","3","4","2","2","4","4","4","3","4","1","1","3","3","3","2","2","2","4","3","3","3","5","4","4","4","4","4","4","1","4"
"70",48,"0","Ciencias","1",25,"1","Adjunto","0","4","5","5","4","4","2","4","4","4","4","4","2","4","4","3","3","2","3","4","5","4","5","4","4","4","4","5","2","3","2","2","1","4","4","4","4","3","4","4","4","4","1","1"
"71",45,"0","Derecho y Politica","0",12,"1","Adjunto","0","3","3","3","5","5","2","4","4","3","3","2","2","3","3","3","2","2","4","2","4","4","5","1","1","3","2","3","3","3","2","4","3","3","3","5","2","4","5","1","4","4","1","1"
"72",53,"0","Ciencias","0",12,"1","Adjunto","0","3","2","4","4","3","3","4","3","4","4","4","3","3","2","3","2","3","4","3","3","4","5","2","1","2","1","4","2","2","1","4","4","3","2","4","3","2","3","4","3","2","1","4"
"73",43,"0","Derecho y Politica","1",18,"1","Adjunto","0","2","2","2","5","4","2","4","5","3","3","2","2","2","2","3","2","2","3","2","3","4","5","2","1","2","2","3","1","2","1","3","3","2","2","4","3","3","3","3","4","5","1","1"
"74",39,"0","Ingenieria y Arquitectura","1",14,"1","Adjunto","1","4","4","5","4","4","5","5","5","4","5","3","1","4","3","5","5","2","4","4","5","5","5","2","3","5","4","5","3","3","4","4","3","5","5","3","4","3","5","5","5","5","4","2"
"75",44,"0","Derecho y Politica","0",16,"1","Adjunto","0","2","2","2","5","3","3","4","3","2","2","2","4","2","3","3","1","2","2","2","3","3","3","1","1","1","1","2","2","2","3","3","3","2","2","3","3","3","3","2","3","3","1","1"
"76",39,"0","Ingenieria y Arquitectura","0",7,"1","Adjunto","0","3","4","5","5","5","3","5","5","5","5","5","1","5","3","3","5","3","5","3","5","5","5","3","4","5","5","4","3","2","3","4","4","5","5","4","2","2","2","4","4","4","1","2"
"77",43,"0","Ingenieria y Arquitectura","0",7,"1","Adjunto","0","4","3","3","5","5","4","4","5","4","4","4","2","2","3","2","1","3","5","3","5","5","5","1","1","3","3","4","1","2","1","4","4","2","2","2","4","4","3","3","3","4","2","1"
"78",46,"0","Artes y Humanidades","0",12,"1","Adjunto","0","4","3","5","5","5","4","4","5","4","3","3","2","4","4","4","2","3","4","4","5","5","5","2","2","4","4","5","4","4","2","5","5","4","4","5","5","4","4","4","5","5","2","5"
"79",58,"0","Ingenieria y Arquitectura","0",10,"1","Adjunto","0","3","3","4","5","4","5","4","4","3","3","3","3","4","4","3","2","3","5","4","5","5","5","2","3","2","2","4","4","5","4","5","5","3","3","5","4","3","3","3","4","4","2","5"
"80",56,"0","Ciencias de la Salud","0",22,"1","Adjunto","0","2","2","3","4","3","2","4","4","3","2","2","4","2","3","2","1","4","4","4","4","4","5","1","1","2","1","4","2","2","1","4","4","2","2","5","3","5","5","2","3","4","1","3"
"81",46,"0","Artes y Humanidades","0",10,"1","Adjunto","0","3","2","2","5","5","4","3","3","3","4","4","4","3","2","3","1","2","3","2","5","5","5","1","1","2","1","3","1","1","1","5","5","1","1","3","1","1","1","1","2","5","1","1"
"82",44,"0","Ingenieria y Arquitectura","0",1,"1","Adjunto","1","3","4","4","4","5","4","5","5","4","5","2","3","4","4","4","4","3","5","4","4","5","5","2","4","2","2","3","2","5","4","5","4","3","4","4","3","3","3","5","5","5","4","4"
"83",49,"0","Ciencias","1",20,"1","Adjunto","0","1","2","1","2","2","1","2","2","1","1","1","5","1","1","1","1","2","5","3","5","5","4","1","1","2","1","2","1","1","1","4","4","1","1","5","5","5","5","2","2","4","1","1"
"84",48,"0","Ciencias","1",20,"1","Adjunto","0","2","3","3","5","5","3","3","3","4","4","4","3","3","3","3","3","3","4","3","5","3","3","1","1","3","3","4","1","1","1","3","3","3","2","4","4","3","5","3","2","2","1","1"
"85",46,"0","Ingenieria y Arquitectura","1",23,"1","Adjunto","1","5","5","5","5","4","3","4","5","4","4","3","2","4","3","3","5","3","3","3","5","5","5","4","2","5","5","5","5","5","5","3","4","5","5","3","1","1","1","5","5","5","3","3"
"86",55,"0","Ciencias de la Salud","1",20,"1","Adjunto","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"87",43,"0","Artes y Humanidades","0",12,"1","Adjunto","0","4","4","4","5","5","3","4","4","4","3","3","4","3","3","3","2","2","4","3","5","3","5","3","1","3","3","4","2","4","1","4","2","3","4","3","3","3","3","4","5","5","1","5"
"88",46,"0","Derecho y Politica","0",7,"1","Adjunto","0","3","3","3","2","5","2","3","4","3","4","2","5","2","2","2","1","2","4","3","4","4","5","2","1","2","2","2","1","5","4","4","3","2","2","5","4","5","3","2","3","4","1","2"
"89",50,"0","Artes y Humanidades","0",12,"1","Adjunto","1","5","3","5","3","5","3","5","4","4","4","3","1","4","4","3","3","3","5","5","5","5","5","3","5","5","5","5","5","5","3","5","5","5","5","3","5","5","5","5","5","5","1","3"
"90",37,"0","Ingenieria y Arquitectura","1",12,"1","Adjunto","0","5","5","5","5","5","5","5","5","4","4","4","2","4","4","2","3","3","3","4","4","2","5","3","2","4","4","4","1","1","1","4","2","4","4","3","3","3","4","4","4","4","1","2"
"91",44,"0","Artes y Humanidades","0",12,"1","Adjunto","1","5","5","5","4","4","4","5","4","4","4","3","2","5","4","5","3","3","3","2","5","5","5","3","4","5","5","5","3","5","5","3","1","5","4","5","5","5","5","4","4","4","4","5"
"92",47,"0","Ingenieria y Arquitectura","0",7,"1","Adjunto","0","3","4","5","4","4","2","4","3","5","5","5","3","4","3","3","4","5","3","4","5","5","5","4","2","5","5","5","2","5","5","4","2","5","4","3","4","3","3","5","5","5","2","2"
"93",46,"0","Derecho y Politica","0",1,"1","Adjunto","0","4","4","4","5","5","5","4","4","4","4","3","5","4","4","4","3","2","2","2","4","5","5","1","1","3","3","4","5","5","5","5","5","3","3","4","2","4","4","1","3","4","1","1"
"94",37,"0","Ingenieria y Arquitectura","0",6,"1","Adjunto","0","4","4","4","4","4","4","5","5","3","3","3","2","3","3","3","2","4","4","4","4","4","4","4","1","3","4","3","2","3","2","3","3","4","3","5","5","5","5","5","4","5","2","3"
"95",51,"0","Ciencias de la Salud","1",20,"1","Adjunto","1","3","3","4","5","4","5","4","5","3","3","2","2","3","3","4","2","2","5","2","5","2","5","1","1","3","3","2","5","3","1","5","3","3","3","5","4","5","5","4","4","3","3","4"
"96",33,"0","Artes y Humanidades","1",9,"1","Adjunto","1","2","2","2","5","3","4","2","3","3","3","2","4","2","2","3","1","1","1","2","5","3","5","1","1","1","1","1","3","2","4","3","1","2","2","2","2","2","2","1","2","3","1","4"
"97",33,"0","Derecho y Politica","0",3,"1","Adjunto","0","4","4","4","4","4","4","5","5","4","4","3","3","3","3","3","3","2","2","4","4","4","5","1","2","3","4","3","3","4","1","5","5","4","4","5","4","5","5","2","4","4","1","3"
"98",37,"0","Artes y Humanidades","0",6,"1","Adjunto","0","4","3","5","5","5","4","4","4","5","4","4","2","4","3","4","2","3","3","5","4","4","4","3","3","3","3","4","5","4","4","4","2","3","3","4","5","5","3","2","5","5","1","3"
"99",34,"0","Ingenieria y Arquitectura","1",10,"1","Adjunto","0","4","4","5","5","5","3","4","4","4","4","3","1","4","3","2","3","4","4","3","5","1","4","3","1","4","4","4","1","1","1","3","1","3","4","2","4","1","1","4","3","2","1","1"
"100",38,"0","Artes y Humanidades","0",7,"1","Adjunto","0","3","4","4","4","4","3","4","4","4","4","3","4","4","4","3","1","2","3","4","5","5","5","3","3","4","4","4","2","4","3","5","3","4","4","4","4","4","4","4","4","4","2","4"
"101",50,"0","Artes y Humanidades","1",17,"1","Adjunto","0","2","3","5","5","4","4","4","3","3","3","3","3","3","4","2","2","2","2","2","4","5","5","2","2","4","3","4","1","1","3","2","2","3","4","3","2","3","2","4","5","5","5","3"
"102",40,"0","Derecho y Politica","0",16,"1","Adjunto","0","3","3","2","4","2","4","3","3","2","2","2","4","2","3","2","1","2","2","2","4","4","4","1","1","1","1","2","2","4","1","1","1","1","1","1","1","1","1","1","1","2","2","1"
"103",41,"0","Artes y Humanidades","1",10,"1","Adjunto","0","3","3","4","3","5","4","4","3","4","4","3","2","3","2","3","3","4","4","3","3","4","4","2","2","4","4","3","2","3","2","3","3","3","3","3","3","4","4","5","5","5","3","2"
"104",42,"0","Ciencias","1",15,"1","Adjunto","0","4","5","5","5","5","4","5","4","4","4","4","1","3","3","4","2","4","3","4","3","1","4","3","2","4","3","5","2","1","2","3","3","3","3","1","1","1","1","4","2","3","2","3"
"105",36,"0","Ingenieria y Arquitectura","0",12,"1","Adjunto","0","4","3","4","4","3","3","3","4","4","4","3","3","3","3","3","3","3","3","3","5","4","3","4","3","3","2","4","4","5","4","1","2","3","4","4","3","2","3","2","3","4","5","1"
"106",47,"0","Ingenieria y Arquitectura","1",24,"1","Adjunto","0","1","2","2","4","3","4","3","3","1","2","2","3","1","1","3","2","2","4","3","4","3","5","2","1","2","2","2","1","1","4","4","4","2","2","2","2","2","2","3","2","1","1","2"
"107",35,"0","Ingenieria y Arquitectura","1",5,"1","Adjunto","0","4","4","5","5","5","5","5","5","5","5","4","2","4","5","3","1","5","5","5","5","5","5","4","2","2","2","5","1","3","3","5","5","4","4","5","2","2","2","5","5","5","1","4"
"108",45,"0","Derecho y Politica","1",22,"1","Adjunto","0","2","2","2","3","3","3","2","3","2","2","1","5","1","2","3","1","1","3","1","4","4","4","2","2","1","1","2","4","4","2","2","1","1","1","5","3","3","5","1","2","1","1","4"
"109",46,"0","Ciencias de la Salud","1",10,"1","Adjunto","0","5","5","5","5","5","3","5","4","4","4","4","2","4","4","3","2","2","4","4","4","2","4","3","3","4","2","4","2","3","1","4","3","4","4","4","4","4","4","4","4","4","2","4"
"110",46,"0","Ciencias de la Salud","1",20,"1","Adjunto","0","3","3","4","5","5","3","4","5","3","3","3","3","2","3","2","1","3","4","3","5","5","5","2","2","4","4","4","1","1","1","4","4","3","3","5","5","3","4","4","4","4","1","3"
"111",41,"0","Ingenieria y Arquitectura","0",13,"1","Adjunto","0","3","4","3","4","4","4","5","4","3","3","3","4","3","3","3","1","3","4","3","4","4","4","3","3","4","3","5","2","5","1","3","2","4","4","4","4","3","4","4","4","2","2","3"
